levier,description
Gestion des forêts et produits bois,"Gestion durable des forêts pour améliorer leur santé et promouvoir l'utilisation du bois comme matériau écologique."
Changements de pratiques de fertilisation azotée,"Adoption de méthodes agricoles réduisant l'utilisation d'engrais azotés pour diminuer les émissions de gaz à effet de serre."
Elevage durable,"Mise en place de pratiques d'élevage respectueuses de l'environnement pour réduire l'impact sur le climat et la biodiversité."
Gestion des haies,"Conservation et plantation de haies pour protéger la biodiversité et améliorer les écosystèmes agricoles."
Bâtiments & Machines agricoles,"Modernisation des infrastructures et équipements agricoles pour augmenter l'efficacité énergétique et réduire les émissions."
Gestion des prairies,"Pratiques de gestion des prairies visant à maintenir la biodiversité et à stocker du carbone dans les sols."
Pratiques stockantes,"Techniques agricoles qui augmentent le stockage de carbone dans les sols, contribuant à la lutte contre le changement climatique."
Sobriété foncière,"Concept visant à limiter l'artificialisation des sols, c'est-à-dire la transformation d'espaces naturels en zones urbaines ou industrielles."
Surface en aire protégée,"Augmentation de la superficie des zones protégées pour préserver la biodiversité et les écosystèmes sensibles."
Résorption des points noirs prioritaires de continuité écologique,"Élimination des obstacles majeurs qui empêchent la libre circulation des espèces dans les écosystèmes."
Restauration des habitats naturels,"Actions visant à réhabiliter les écosystèmes dégradés pour favoriser la biodiversité."
Réduction de l'usage des produits phytosanitaires,"Diminution de l'utilisation de pesticides et herbicides pour protéger la santé humaine et l'environnement."
Développement de l'agriculture biologique et de HVE,"Promotion de l'agriculture biologique et de la Haute Valeur Environnementale pour des pratiques agricoles plus durables."
Respect d'Egalim pour la restauration collective,"Mise en œuvre de la loi Egalim pour favoriser une alimentation saine et durable dans les cantines et restaurants collectifs."
Sobriété des bâtiments (résidentiel),"Réduction de la consommation d'énergie dans les bâtiments résidentiels par des comportements sobres."
Changement chaudières fioul + rénovation (résidentiel),"Remplacement des chaudières au fioul par des systèmes plus propres et rénovation énergétique des logements."
Changement chaudières gaz + rénovation (résidentiel),"Remplacement des chaudières au gaz par des systèmes plus efficaces et rénovation énergétique des logements."
Rénovation (hors changement chaudières),"Travaux d'amélioration énergétique des bâtiments sans changer les chaudières, comme l'isolation."
Sobriété des bâtiments (tertiaire),"Réduction de la consommation d'énergie dans les bâtiments du secteur tertiaire par des pratiques sobres."
Changement chaudières fioul + rénovation (tertiaire),"Remplacement des chaudières au fioul dans le tertiaire et rénovation pour améliorer l'efficacité énergétique."
Changement chaudières gaz + rénovation (tertiaire),"Remplacement des chaudières au gaz dans le tertiaire et rénovation pour réduire la consommation énergétique."
Gaz fluorés résidentiel,"Réduction de l'utilisation des gaz fluorés dans les équipements résidentiels, car ils ont un fort potentiel de réchauffement climatique."
Gaz fluorés tertiaire,"Réduction de l'utilisation des gaz fluorés dans les équipements du secteur tertiaire."
Captage de méthane dans les ISDND,"Récupération du méthane émis par les Installations de Stockage de Déchets Non Dangereux pour limiter les émissions de gaz à effet de serre."
Prévention des déchets,"Réduction de la production de déchets à la source par des comportements sobres."
Valorisation matière des déchets,"Recyclage et réutilisation des déchets pour en faire de nouvelles ressources."
Moindre stockage en décharge,"Réduction du volume des déchets mis en décharges."
Augmentation du taux de collecte,"Amélioration des systèmes de collecte et de tri pour augmenter le recyclage."
Sobriété dans l'utilisation de la ressource en eau,"Réduction de la consommation d'eau par des usages plus économes."
Protection des zones de captage d'eau,"Mesures pour préserver les zones où l'eau est prélevée pour l'alimentation en eau potable."
Désimperméabilisation des sols,"Réduction des surfaces imperméables pour favoriser l'infiltration de l'eau dans les sols."
Electricité renouvelable,"Développement de la production d'électricité à partir de sources renouvelables comme le solaire et l'éolien."
Biogaz,"Production de gaz renouvelable à partir de matières organiques pour remplacer le gaz fossile."
Réseaux de chaleur décarbonés,"Utilisation de sources d'énergie renouvelable ou de récupération pour alimenter les réseaux de chauffage urbain."
Top 50 sites industriels,"Actions ciblées sur les 50 sites industriels les plus émetteurs pour réduire significativement les émissions."
Industrie diffuse,"Réduction des émissions provenant de l'ensemble des activités industrielles moins concentrées."
Fret décarboné et multimodalité,"Promotion de modes de transport de marchandises moins polluants et combinant différents modes (train, bateau, etc.)."
Efficacité et sobriété logistique,"Optimisation des flux logistiques pour réduire la consommation d'énergie et les émissions."
Réduction des déplacements,"Diminution de la nécessité de se déplacer, par exemple via le télétravail ou la relocalisation des services."
Covoiturage,"Partage de véhicules entre plusieurs personnes pour réduire le nombre de voitures sur la route."
Vélo,"Promotion de l'usage du vélo pour les déplacements quotidiens."
Transports en commun,"Développement et amélioration des services de transport public pour encourager leur utilisation."
Véhicules électriques,"Transition vers les véhicules électriques pour réduire les émissions du transport routier."
Efficacité énergétique des véhicules privés,"Amélioration de la consommation de carburant des véhicules pour réduire les émissions."
Bus et cars décarbonés,"Remplacement des bus et cars par des modèles à faibles émissions ou électriques."
2 roues (élec&efficacité),"Promotion des deux-roues électriques ou plus économes en énergie."
Nucléaire,"Maintien ou développement de l'énergie nucléaire pour une production d'électricité bas-carbone."
Bio-carburants,"Utilisation de carburants issus de la biomasse pour remplacer les carburants fossiles."
Efficacité des aéronefs,"Amélioration de l'efficacité énergétique des avions pour réduire les émissions du secteur aérien."
SAF,"Utilisation de carburants d'aviation durables (Sustainable Aviation Fuel) pour réduire l'impact environnemental des vols."
